donor_id,name,age,gender,blood_group,zone,latitude,longitude,phone_number,total_donations,last_donation_date,days_since_last_donation,donation_frequency_days,availability_status,eligible_to_donate,responded_last_emergency,geo_cluster
DNR00068,Ali Varghese,18,Female,O-,Zone_A_General_Hospital,8.635387,76.857433,9909134796,4,2026-04-12,95.0,87.0,Available,1,1,4
DNR00069,Steven Das,34,Female,A+,Zone_B_Medical_College,8.540901,76.8988,9621453189,3,2025-05-26,416.0,164.0,Available,1,1,4
DNR00070,Priya Iyer,18,Male,O-,Zone_D_Cottage_Hospital,8.606973,76.881176,9276777762,2,2026-05-17,60.0,133.0,Not Available,0,0,4
DNR00071,Ramesh Nair,18,Female,O+,Zone_D_Cottage_Hospital,8.594902,76.850081,9384759615,0,,,,Available,1,0,4
DNR00072,Elizabeth Bose,37,Female,O+,Zone_D_Cottage_Hospital,8.66513,76.94469,9554200826,4,2025-09-27,292.0,106.0,Available,1,1,4
DNR00073,Fatima Pandey,33,Male,B+,Zone_E_Community_Clinic,8.584587,76.913647,9871385010,6,2024-09-07,677.0,96.0,Available,1,1,4
DNR00074,Pooja Sharma,33,Male,O+,Zone_B_Medical_College,8.544794,77.014126,9333754555,6,2025-09-16,303.0,60.0,Available,1,0,0
DNR00075,Vihaan Panicker,43,Male,AB+,Zone_E_Community_Clinic,8.416798,76.955574,9903132646,8,2026-05-15,62.0,137.0,Available,0,0,2
DNR00076,Rahul Menon,34,Female,A+,Zone_A_General_Hospital,8.455925,77.003757,9611947770,8,2024-11-25,598.0,63.0,Available,1,1,2
DNR00077,Neha Jain,37,Female,B+,Zone_E_Community_Clinic,8.483539,76.978607,9161073976,6,2026-02-05,161.0,123.0,Not Available,1,0,2
DNR00078,Neha Pillai,42,Other,B+,Zone_B_Medical_College,8.514378,76.991076,9738914080,8,2026-05-07,70.0,107.0,Available,0,1,0
DNR00079,Arjun Naidu,23,Male,A+,Zone_B_Medical_College,8.425056,76.824203,9228727266,4,2025-05-29,413.0,159.0,Not Available,1,0,3
DNR00080,Jessy Panicker,29,Female,A+,Zone_B_Medical_College,8.557497,76.932604,9738360085,3,2024-12-01,592.0,95.0,Temporarily Unavailable,1,0,4
DNR00081,Aditya Chandran,26,Male,AB-,Zone_A_General_Hospital,8.613681,76.900205,9805849060,4,2025-05-13,429.0,214.0,Available,1,1,4
DNR00082,Kiran Panicker,41,Female,B+,Zone_E_Community_Clinic,8.534275,77.039095,9379995032,3,2025-08-27,323.0,155.0,Available,1,1,0
DNR00083,Kavya Naidu,22,Male,O+,Zone_C_City_Hospital,8.26599,76.898514,9385201412,5,2025-11-14,244.0,129.0,Available,1,1,3
DNR00084,Anil Sharma,35,Female,O+,Zone_C_City_Hospital,8.517184,77.008672,9439492674,6,2025-04-04,468.0,113.0,Available,1,1,0
DNR00085,Elizabeth Mishra,33,Male,O-,Zone_A_General_Hospital,8.525913,77.018124,9110002396,0,,,,Available,1,1,0
DNR00086,Ravi Chandran,32,Male,O+,Zone_E_Community_Clinic,8.505673,77.065335,9178663096,4,2026-04-05,102.0,128.0,Available,1,0,2
DNR00087,Shreya Iyer,27,Male,O+,Zone_E_Community_Clinic,8.51224,76.978479,9242224154,2,2025-10-18,271.0,91.0,Temporarily Unavailable,1,1,0
DNR00088,Elizabeth Sheikh,35,Male,A+,Zone_A_General_Hospital,8.490941,76.928244,9362298393,6,2024-01-28,900.0,60.0,Available,1,1,3
DNR00089,Suresh Verma,21,Male,O+,Zone_B_Medical_College,8.591671,76.819553,9995226828,5,2025-04-24,448.0,154.0,Available,1,1,1
DNR00090,Shreya Krishnan,31,Female,A-,Zone_C_City_Hospital,8.500846,76.874201,9966616964,9,2024-10-28,626.0,177.0,Available,1,1,3
DNR00091,Ali Mathew,33,Female,B-,Zone_A_General_Hospital,8.568812,76.893468,9977358886,2,2024-09-01,683.0,192.0,Available,1,1,4
DNR00092,Nisha Verma,25,Male,A+,Zone_A_General_Hospital,8.586895,76.925566,9244193987,6,2024-01-29,899.0,92.0,Available,1,1,4
DNR00093,Riya Kumar,31,Female,O+,Zone_A_General_Hospital,8.45105,76.92251,9694019365,2,2024-06-16,760.0,121.0,Available,1,1,3
DNR00094,Rohan Gupta,30,Male,O+,Zone_C_City_Hospital,8.439346,77.017052,9326161867,2,2024-11-04,619.0,144.0,Available,1,1,2
DNR00095,Ayesha Khan,32,Female,AB+,Zone_B_Medical_College,8.506202,76.958288,9781007818,4,2024-08-12,703.0,145.0,Temporarily Unavailable,1,0,0
DNR00096,Steven Gupta,36,Female,A+,Zone_E_Community_Clinic,8.637636,76.904223,9369639388,8,2025-03-03,500.0,98.0,Available,1,1,4
DNR00097,Anna Jain,29,Female,O+,Zone_A_General_Hospital,8.418874,76.905788,9781057736,3,2026-04-13,94.0,182.0,Temporarily Unavailable,1,1,3
DNR00098,Deepak Sen,48,Male,AB+,Zone_C_City_Hospital,8.456561,76.942993,9103807155,5,2026-06-01,45.0,155.0,Temporarily Unavailable,0,0,3
DNR00099,Amit Mishra,36,Male,B+,Zone_B_Medical_College,8.563439,76.89957,9381272327,4,2024-10-02,652.0,166.0,Available,1,1,4
DNR00100,Ananya Pandey,35,Male,O+,Zone_D_Cottage_Hospital,8.554623,76.950643,9857704655,3,2024-12-29,564.0,91.0,Available,1,1,0
DNR00101,Deepak Varghese,18,Female,B+,Zone_A_General_Hospital,8.540129,76.97798,9180792472,3,2026-03-24,114.0,64.0,Temporarily Unavailable,1,1,0
DNR00102,Jessy Krishnan,44,Female,O+,Zone_B_Medical_College,8.541354,76.881858,9138684919,2,2025-01-04,558.0,135.0,Available,1,0,4
DNR00103,Alice Sheikh,39,Male,B-,Zone_E_Community_Clinic,8.49491,77.028428,9259014493,4,2024-12-28,565.0,133.0,Available,1,1,2
DNR00104,Deepak Sharma,22,Female,AB-,Zone_A_General_Hospital,8.56473,76.954236,9491541578,7,2025-09-04,315.0,93.0,Available,1,1,0
DNR00105,Anna Jain,27,Female,O+,Zone_A_General_Hospital,8.528357,76.867944,9325567963,3,2025-07-15,366.0,146.0,Available,1,0,1
DNR00106,Zara Das,42,Female,O+,Zone_A_General_Hospital,8.508184,76.972591,9937643439,7,2025-07-19,362.0,134.0,Available,1,1,0
DNR00107,Nisha Yadav,19,Female,B+,Zone_D_Cottage_Hospital,8.456441,76.780977,9904745462,2,2024-10-19,635.0,107.0,Available,1,1,1
DNR00108,Rohan Jain,25,Male,AB+,Zone_B_Medical_College,8.689046,76.74181,9274484941,1,2024-02-12,885.0,,Available,1,1,1
DNR00109,Jacob Bose,54,Female,O+,Zone_B_Medical_College,8.634296,76.937161,9126614158,3,2025-05-20,422.0,150.0,Available,1,0,4
DNR00110,Diya Pandey,34,Male,AB+,Zone_C_City_Hospital,8.437953,76.936104,9542073642,3,2024-05-06,801.0,127.0,Available,1,1,3
DNR00111,Jacob Naidu,45,Female,B+,Zone_B_Medical_College,8.485041,76.886875,9270937380,3,2025-10-16,273.0,95.0,Available,1,1,3
DNR00112,Thomas Krishnan,35,Female,B-,Zone_A_General_Hospital,8.538221,77.023588,9141580226,3,2025-06-20,391.0,121.0,Available,1,1,0
DNR00113,Steven Joseph,32,Female,B+,Zone_B_Medical_College,8.468558,76.857013,9976803188,5,2025-12-24,204.0,86.0,Available,1,1,3
DNR00114,Jose Thomas,53,Female,AB+,Zone_C_City_Hospital,8.473815,76.945722,9981044229,1,2025-09-07,312.0,,Available,1,1,3
DNR00115,Thomas Chatterjee,26,Female,B-,Zone_B_Medical_College,8.460616,76.849949,9125409494,5,2025-11-30,228.0,185.0,Temporarily Unavailable,1,1,3
DNR00116,Hassan Iyer,28,Male,AB+,Zone_D_Cottage_Hospital,8.547262,76.842904,9399147754,2,2025-08-14,336.0,79.0,Available,1,1,1
DNR00117,George Pillai,25,Male,AB+,Zone_C_City_Hospital,8.529731,76.983498,9788785773,7,2025-07-22,359.0,204.0,Available,1,1,0
DNR00118,Neha Ahmed,22,Male,A+,Zone_E_Community_Clinic,8.539693,77.070967,9129635852,5,2025-08-11,339.0,107.0,Available,1,0,0
DNR00119,Krishna Yadav,32,Female,O+,Zone_C_City_Hospital,8.534694,76.906232,9723403479,5,2026-01-15,182.0,129.0,Available,1,1,4
DNR00120,Riya Menon,24,Female,O+,Zone_A_General_Hospital,8.509035,76.882519,9566609283,7,2024-11-13,610.0,60.0,Not Available,1,1,3
DNR00121,Vikram Pandey,27,Female,AB+,Zone_C_City_Hospital,8.559051,76.990244,9750911797,2,2025-04-26,446.0,143.0,Available,1,1,0
DNR00122,Neha Kumar,32,Female,O-,Zone_D_Cottage_Hospital,8.559525,76.878404,9304095531,4,2024-12-03,590.0,152.0,Available,1,1,4
DNR00123,Riya Menon,37,Male,B+,Zone_D_Cottage_Hospital,8.563505,76.695805,9658260221,2,2026-07-15,1.0,131.0,Available,0,1,1
DNR00124,Elizabeth Bose,29,Male,AB-,Zone_E_Community_Clinic,8.59401,76.97948,9872482077,3,2024-08-12,703.0,106.0,Available,1,1,0
DNR00125,Farhan Pandey,28,Male,AB-,Zone_B_Medical_College,8.557747,76.929064,9563102056,4,2025-07-09,372.0,167.0,Temporarily Unavailable,1,0,4
DNR00126,Arjun Naidu,26,Male,O-,Zone_C_City_Hospital,8.411651,77.010023,9769108025,0,,,,Available,1,1,2
DNR00127,Rahul Naidu,39,Male,B+,Zone_A_General_Hospital,8.489652,76.961584,9422468580,2,2024-07-09,737.0,80.0,Available,1,1,3
DNR00128,Neha Verma,31,Female,A+,Zone_D_Cottage_Hospital,8.484862,76.877443,9532074125,4,2025-08-16,334.0,178.0,Temporarily Unavailable,1,1,3
DNR00129,Fatima Verma,29,Female,B+,Zone_E_Community_Clinic,8.461808,77.086433,9305986733,2,2026-03-08,130.0,116.0,Available,1,1,2
DNR00130,Sunil Naidu,41,Female,O+,Zone_D_Cottage_Hospital,8.519709,76.890739,9903303363,5,2024-08-22,693.0,129.0,Available,1,1,3
DNR00131,Anna Reddy,27,Male,AB+,Zone_E_Community_Clinic,8.449392,77.052817,9423142470,4,2024-12-11,582.0,167.0,Available,1,1,2
DNR00132,Anil Varghese,39,Male,AB-,Zone_A_General_Hospital,8.586914,76.888341,9408071259,3,2025-09-08,311.0,173.0,Available,1,1,4
DNR00133,Kavya Fernandes,37,Male,AB-,Zone_E_Community_Clinic,8.459418,77.029162,9802984810,6,2024-11-02,621.0,142.0,Available,1,1,2
DNR00134,Rahul Thomas,29,Male,B+,Zone_D_Cottage_Hospital,8.596641,76.889419,9825449223,2,2025-04-20,452.0,132.0,Available,1,0,4
DNR00135,Kavya Mathew,40,Female,O-,Zone_D_Cottage_Hospital,8.549561,76.898021,9954725078,7,2024-04-25,812.0,135.0,Temporarily Unavailable,1,1,4
DNR00136,Farhan Reddy,25,Male,O-,Zone_A_General_Hospital,8.543576,77.045146,9653462378,7,2025-09-29,290.0,114.0,Available,1,1,0
DNR00137,Hassan Rao,19,Female,AB-,Zone_E_Community_Clinic,8.486818,76.915768,9200273738,5,2025-08-07,343.0,167.0,Available,1,1,3
DNR00138,Maria Mishra,25,Female,A+,Zone_B_Medical_College,8.497502,76.942542,9433310361,3,2024-08-27,688.0,148.0,Not Available,1,0,3
DNR00139,Isha Bose,28,Male,O+,Zone_B_Medical_College,8.561169,76.960673,9126226563,3,2026-02-16,150.0,60.0,Temporarily Unavailable,1,0,0
DNR00140,Aditya Das,44,Female,B-,Zone_D_Cottage_Hospital,8.524517,76.891769,9925159146,6,2024-10-29,625.0,119.0,Available,1,1,3
DNR00141,Arjun Thomas,45,Male,O+,Zone_D_Cottage_Hospital,8.619873,76.923496,9718121922,3,2024-10-10,644.0,86.0,Available,1,1,4
DNR00142,Aadhya Krishnan,30,Female,AB-,Zone_D_Cottage_Hospital,8.572072,76.916782,9529123992,4,2025-02-25,506.0,105.0,Available,1,1,4
DNR00143,Meera Sharma,42,Male,B+,Zone_A_General_Hospital,8.532985,76.823831,9926830795,6,2024-06-08,768.0,112.0,Available,1,1,1
DNR00144,Jessy Kumar,45,Male,O+,Zone_D_Cottage_Hospital,8.379028,76.869739,9288856883,4,2025-12-04,224.0,150.0,Not Available,1,0,3
DNR00145,Jacob Krishnan,44,Male,B+,Zone_E_Community_Clinic,8.444632,76.917275,9153921577,5,2025-03-28,475.0,119.0,Available,1,1,3
DNR00146,Nisha Das,24,Female,A+,Zone_A_General_Hospital,8.37122,76.992973,9243171768,2,2025-04-05,467.0,129.0,Available,1,0,2
DNR00147,Jacob Thomas,32,Male,B+,Zone_E_Community_Clinic,8.555786,76.91139,9739362057,5,2024-12-21,572.0,123.0,Available,1,1,4
DNR00148,Rahul Mishra,35,Male,A-,Zone_D_Cottage_Hospital,8.600017,76.851329,9975106572,5,2024-10-27,627.0,135.0,Available,1,1,4
DNR00149,Imran Yadav,50,Male,A+,Zone_E_Community_Clinic,8.471724,77.098165,9991816852,3,2025-05-06,436.0,175.0,Available,1,1,2
DNR00150,Jose Varghese,32,Female,A-,Zone_D_Cottage_Hospital,8.515386,76.847448,9898493949,6,2026-02-04,162.0,108.0,Not Available,1,0,1
DNR00151,George Joseph,18,Male,A+,Zone_D_Cottage_Hospital,8.615792,76.875036,9907214179,4,2025-10-24,265.0,172.0,Not Available,1,0,4
DNR00152,Meera Sen,26,Male,B+,Zone_C_City_Hospital,8.508365,77.041252,9935021998,5,2024-05-23,784.0,159.0,Available,1,1,0
DNR00153,Divya Joseph,38,Female,B+,Zone_B_Medical_College,8.512536,76.868312,9572309605,5,2025-10-08,281.0,127.0,Available,1,0,1
DNR00154,Arjun Krishnan,34,Male,AB-,Zone_C_City_Hospital,8.557943,77.045328,9391751878,3,2025-11-18,240.0,121.0,Available,1,1,0
DNR00155,Amit Khan,29,Female,A+,Zone_E_Community_Clinic,8.449211,77.008031,9248578017,7,2026-04-25,82.0,116.0,Temporarily Unavailable,0,0,2
DNR00156,Rohan Das,18,Male,O+,Zone_D_Cottage_Hospital,8.524451,76.853808,9264073400,5,2024-08-05,710.0,115.0,Not Available,1,1,1
DNR00157,Ayesha Iyer,44,Male,O+,Zone_A_General_Hospital,8.59944,76.865092,9537656494,1,2025-05-18,424.0,,Temporarily Unavailable,1,0,4
DNR00158,Amit Varghese,26,Female,O+,Zone_D_Cottage_Hospital,8.609134,76.756527,9166857303,1,2025-05-17,425.0,,Available,1,1,1
DNR00159,Kavya Sen,33,Female,AB+,Zone_D_Cottage_Hospital,8.605733,76.922566,9926561919,5,2025-06-13,398.0,60.0,Temporarily Unavailable,1,1,4
DNR00160,Kiran Krishnan,18,Male,AB-,Zone_A_General_Hospital,8.512274,76.876495,9922050912,3,2024-02-20,877.0,102.0,Not Available,1,1,3
DNR00161,Swati Ahmed,39,Female,A+,Zone_D_Cottage_Hospital,8.616142,76.846407,9477698143,4,2026-07-10,6.0,111.0,Available,0,0,4
DNR00162,Sneha Mishra,28,Male,O+,Zone_D_Cottage_Hospital,8.493652,76.811902,9997356828,5,2024-02-24,873.0,115.0,Temporarily Unavailable,1,1,1
DNR00163,Sunil Varghese,30,Female,AB-,Zone_E_Community_Clinic,8.504418,77.044085,9747737533,3,2024-04-18,819.0,159.0,Temporarily Unavailable,1,1,2
DNR00164,Anna Das,37,Male,B+,Zone_D_Cottage_Hospital,8.518852,76.763254,9393062061,8,2025-12-04,224.0,81.0,Available,1,1,1
DNR00165,Deepak Joseph,32,Female,AB+,Zone_A_General_Hospital,8.617375,76.975571,9460916347,3,2025-06-13,398.0,102.0,Available,1,1,0
DNR00166,Hassan Naidu,18,Male,AB-,Zone_D_Cottage_Hospital,8.546214,76.748126,9277215428,3,2024-07-05,741.0,111.0,Available,1,1,1
DNR00167,Alice Thomas,32,Male,A+,Zone_B_Medical_College,8.615391,76.86437,9673510887,5,2024-10-17,637.0,84.0,Available,1,1,4
DNR00168,Vivaan Jain,34,Female,B-,Zone_D_Cottage_Hospital,8.534931,76.838362,9706011277,6,2024-11-17,606.0,100.0,Available,1,1,1
DNR00169,Hassan Nair,33,Female,O+,Zone_A_General_Hospital,8.507166,76.879771,9560219456,3,2024-09-26,658.0,114.0,Available,1,1,3
DNR00170,Ishaan Chatterjee,32,Female,O+,Zone_D_Cottage_Hospital,8.491336,76.96998,9153992714,1,2026-01-11,186.0,,Available,1,0,2
DNR00171,Riya Ahmed,41,Female,A+,Zone_C_City_Hospital,8.503607,76.881075,9327268503,0,,,,Available,1,1,3
DNR00172,Ravi Khan,33,Male,O+,Zone_C_City_Hospital,8.361935,77.000714,9507083673,7,2024-05-28,779.0,109.0,Temporarily Unavailable,1,0,2
DNR00173,Saanvi Mishra,46,Female,AB+,Zone_D_Cottage_Hospital,8.445369,76.835793,9996478772,6,2025-10-31,258.0,75.0,Temporarily Unavailable,1,1,3
DNR00174,Sai Joseph,29,Male,A+,Zone_A_General_Hospital,8.606732,77.025599,9679196799,2,2024-06-09,767.0,164.0,Available,1,1,0
DNR00175,Vihaan Sheikh,20,Male,AB-,Zone_B_Medical_College,8.666277,76.871732,9173678414,2,2024-09-19,665.0,141.0,Available,1,1,4
